                                                                  && PNO-CASPT2 (Peroxo) && PNO-CEPT2 (Peroxo) && Delta-CEPT2 / kcal/mol && CASPT2 (Bisoxo) && CEPT2 (Bisoxo) && Delta-CEPT2 / kcal/mol \\
                                                                  
($c$,$c$)$\rightarrow$($v$,$v$)                                   && -2.641691 && -2.675058 && -2.09$\times 10^{ 1}$ && -2.632592 && -2.666005 && -2.10$\times 10^{ 1}$  \\ % E (0) 
($c$,$a$)$\rightarrow$($v$,$v$)                                   && -0.320316 && -0.303014 && +1.09$\times 10^{ 1}$ && -0.331461 && -0.312859 && +1.17$\times 10^{ 1}$  \\ % E (-1)
($a$,$a$)$\rightarrow$($v$,$v$)                                   && -0.051163 && -0.052895 && -1.09$\times 10^{ 0}$ && -0.053697 && -0.054310 && -3.85$\times 10^{-1}$  \\ % E (-2)
                                                                  
($c$,$c$)$\rightarrow$($a$,$v$)                                   && -0.132298 && -0.130746 && +9.74$\times 10^{-1}$ && -0.154270 && -0.152005 && +1.42$\times 10^{ 0}$  \\   % $\times 10^{ (+1)
($c$,$a$)$\rightarrow$($a$,$v$),\ ($c$,$a$)$\rightarrow$($v$,$a$) && -0.206663 && -0.207394 && -4.59$\times 10^{-1}$ && -0.238979 && -0.239850 && -5.46$\times 10^{-1}$  \\ % $\times 10^{ (0')
($a$,$a$)$\rightarrow$($a$,$v$)                                   && -0.015565 && -0.015542 && +1.46$\times 10^{-2}$ && -0.013961 && -0.013962 && -1.01$\times 10^{-3}$  \\ % $\times 10^{(-1')
                                                                  
($c$,$c$)$\rightarrow$($a$,$a$)                                   && -0.006854 && -0.006793 && +3.83$\times 10^{-2}$ && -0.009053 && -0.008963 && +5.66$\times 10^{-2}$  \\ % $\times 10^{ (+2)
($c$,$a$)$\rightarrow$($a$,$a$)                                   && -0.006606 && -0.006607 && -1.44$\times 10^{-4}$ && -0.009019 && -0.009018 && +5.91$\times 10^{-4}$  \\ % $\times 10^{(+1')
